Gi?i tính,Nam sinh,T?nh liên h?,Ngh? nghi?p,Ngành ngh?,M?c Luong,Tình tr?ng hôn nhân,T?nh
N?,1998,Thành ph? Hà N?i,01 - 018,Khác,4800000,,1
N?,1996,T?nh Lâm Ð?ng,2nd Assistant Restaurant Manager,Ch?c v? cao,10300000,,3
N?,1994,T?nh Ninh Bình,57902- NV Sales Aqua -Vùng 02,Kinh doanh,4300000,,1
Nam,1995,Thành ph? Hà N?i,60467Nhân viên bán hàng/Beko/Ha Noi /Vùng 1,D?ch v?,4300000,,1
Nam,1996,T?nh B?c Liêu,AM gi?i pháp,Khác,3670100,,3
N?,1994,Thành ph? Hà N?i,Andmind kinh doanh,Kinh doanh,4800000,,1
Nam,1993,T?nh B?n Tre,Áp t?i,Khác,4862000,,3
Nam,1991,T?nh Ngh? An,ATMT-T? PHÓ T? K? LU?T CÔNG NGHI?P,Lu?t,3571000,,2
Nam,1987,T?nh Ngh? An,ATMT-TR?C CHÍNH,B?o v?-Lao d?ng ph? thông,4171000,,2
Nam,1984,T?nh Ngh? An,ATMT-TR?C CHÍNH,B?o v?-Lao d?ng ph? thông,4171000,,2
Nam,1992,Thành ph? Ðà N?ng,"B?c 03/12, nhân viên b?o v? (cu)",Hành chính - Van phòng,0,,2
Nam,1979,T?nh H?i Duong,Bâ?c 08-Công nhân ph? thông,Công nghi?p và s?n xu?t,4445000,,1
N?,1992,,Bác si,Y t? và Cham sóc s?c kh?e,0,,#N/A
Nam,1989,T?nh Ð?ng Tháp,"Bác si da khoa,h?ng III, khoa N?i tim m?ch",Y t? và Cham sóc s?c kh?e,0,,3
Nam,1989,T?nh Phú Th?,Bác si h?ng III - Phó tru?ng khoa C?p c?u - H?i s?c tích c?c &amp; Ch?ng d?c,Y t? và Cham sóc s?c kh?e,0,,1
Nam,1988,Thành ph? Hà N?i,Bác s? h?ng III,Y t? và Cham sóc s?c kh?e,0,,1
Nam,1991,Thành ph? Hà N?i,Bác s? h?ng III,Y t? và Cham sóc s?c kh?e,0,,1
Nam,1994,T?nh Thái Bình,Bác s? thú y,Y t? và Cham sóc s?c kh?e,4194400,,1
Nam,1985,,Bác s? thú y,Y t? và Cham sóc s?c kh?e,0,,#N/A
Nam,1978,,Bác s? y h?c d? phòng h?ng III. Tru?ng tr?m y t? xã Vi?n Son,Y t? và Cham sóc s?c kh?e,0,,#N/A
N?,1993,T?nh Bình Thu?n,Bán hàng,D?ch v?,5993000,Ðã k?t hôn,2
Nam,2000,T?nh Bình Phu?c,Bán hàng,D?ch v?,4300000,,3
Nam,1986,T?nh Long An,B?o trì,B?o v?-Lao d?ng ph? thông,5130000,,3
Nam,1990,T?nh An Giang,B?o trì,B?o v?-Lao d?ng ph? thông,10065000,,3
Nam,1997,T?nh Ngh? An,B?o trì máy,B?o v?-Lao d?ng ph? thông,5679100,,2
Nam,1996,,"B?o trì xu?ng s?i,x1",Công nghi?p và s?n xu?t,5794000,,#N/A
Nam,1988,,B?o v?,B?o v?-Lao d?ng ph? thông,4006800,,#N/A
Nam,1992,T?nh Bà R?a - Vung Tàu,B?o v?,B?o v?-Lao d?ng ph? thông,0,,3
Nam,1980,T?nh Vinh Phúc,B?o v?,B?o v?-Lao d?ng ph? thông,0,,1
Nam,1992,T?nh Thanh Hóa,B?o v?,B?o v?-Lao d?ng ph? thông,4600000,,2
Nam,2000,T?nh Tây Ninh,B?o v?,B?o v?-Lao d?ng ph? thông,4730000,,1
Nam,1979,T?nh B?c Giang,B?o v?,B?o v?-Lao d?ng ph? thông,4300000,,1
Nam,1996,Thành ph? Hà N?i,B?o v?,B?o v?-Lao d?ng ph? thông,0,,1
Nam,1988,T?nh Lai Châu,B?o v? - Phòng Giao d?ch Tân Uyên,Tài chính ngân hàng,3671000,,1
Nam,1996,T?nh Nam Ð?nh,B?o v? dân ph?,B?o v?-Lao d?ng ph? thông,1490000,,1
Nam,1991,T?nh H?i Duong,B?o v? H?i s? NHCSXH t?nh H?i Duong,B?o v?-Lao d?ng ph? thông,3985000,,1
Nam,1987,T?nh Ð?ng Nai,"B?o v? lô cao su, b?c 1/10 A2.6",B?o v?-Lao d?ng ph? thông,4429600,,3
Nam,1998,T?nh B?n Tre,Ba?o vê? viên,Khác,4200000,,3
Nam,1990,,B?o v? vùng 4,B?o v?-Lao d?ng ph? thông,3284900,,#N/A
Nam,1994,T?nh Ti?n Giang,"B?t Ð?, Giày (Làm Vi?c Theo Ch? Ð? 3 Ca)",Khác,4662600,,3
Nam,2001,Thành ph? H? Chí Minh,B?p,Du l?ch-Khách s?n,4729400,,3
Nam,1993,T?nh Thanh Hóa,B?p chính,Du l?ch-Khách s?n,5100000,,2
Nam,1977,,B?p tru?ng,Du l?ch-Khách s?n,5735000,,#N/A
Nam,1990,Thành ph? H?i Phòng,Bí thu Ðoàn thanh niên,Chính tr? - Nhà nu?c,0,,1
Nam,1994,T?nh Lào Cai,Bí thu Ðoàn Thanh niên c?ng s?n H? Chí Minh,Chính tr? - Nhà nu?c,0,,1
Nam,1992,,Bí thu doàn xã,Chính tr? - Nhà nu?c,0,,#N/A
Nam,1991,T?nh Ð?ng Nai,B? Ph?n B?o V?,B?o v?-Lao d?ng ph? thông,4180000,,3
Nam,2001,T?nh Ngh? An,Bo?c nê?m,Khác,4730000,,2
Nam,1988,Thành ph? H?i Phòng,Bôc vác,Khác,3670100,,1
Nam,1993,,B?c x?p,B?o v?-Lao d?ng ph? thông,4740000,,#N/A
Nam,1990,Thành ph? Hà N?i,B?c x?p,B?o v?-Lao d?ng ph? thông,4420000,,1
Nam,1998,T?nh Ð?k L?k,B?c x?p,B?o v?-Lao d?ng ph? thông,4420000,,3
Nam,2000,T?nh Ngh? An,B?c x?p,B?o v?-Lao d?ng ph? thông,4200000,,2
Nam,1996,T?nh Bình Ð?nh,B?c x?p theo xe,B?o v?-Lao d?ng ph? thông,4000000,,2
N?,1996,,B?c x?p th? công,Công nghi?p và s?n xu?t,6733000,,#N/A
Nam,1999,T?nh Th?a Thiên Hu?,B?c x?p th? công,Công nghi?p và s?n xu?t,5460000,,2
Nam,2001,T?nh Ti?n Giang,B?c x?p th? công ? các kho,Công nghi?p và s?n xu?t,5000000,,3
Nam,1995,T?nh Hà Nam,BQD4/ Cán ngu?i 2,Khác,5318000,,1
N?,1984,,BU1 R&amp;D,Khác,9313000,Ðã k?t hôn,#N/A
Nam,1993,,C nhân Thêu,Công nghi?p và s?n xu?t,3035000,,#N/A
Nam,2000,Thành ph? H? Chí Minh,Ca Ðêm,Khác,5500000,,3
Nam,1992,,Ca Phó,Khác,5983000,,#N/A
Nam,1996,Thành ph? H?i Phòng,Ca tru?ng,Khác,5250000,,1
Nam,1995,T?nh Khánh Hòa,Ca tru?ng Ho?t d?ng Gi?i trí,Van hóa - Xã h?i - Th? thao,7000000,,2
Nam,1995,T?nh Trà Vinh,Ca Tru?ng Kh. Thi?t K?,Khác,5477000,,3
Nam,1981,T?nh Thái Bình,Ca tru?ng Mài 2,Khác,4625600,,1
Nam,1991,T?nh B?c Ninh,Cán b? An toàn VSV,Chính tr? - Nhà nu?c,7957950,,1
Nam,1993,T?nh Ð?ng Tháp,CÁN B? BIÊN C?T,Chính tr? - Nhà nu?c,4800000,,3
Nam,1999,T?nh Bình Duong,Cán b? c?p 2,Chính tr? - Nhà nu?c,4750000,,3
Nam,1987,Thành ph? H?i Phòng,"Cán b? c?p 2, Vùng 1, B?c 1",Chính tr? - Nhà nu?c,4480000,,1
Nam,1990,Thành ph? Ðà N?ng,Cán b? c?p 3,Chính tr? - Nhà nu?c,5200000,,2
Nam,1995,T?nh Ngh? An,Cán b? c?p 3,Chính tr? - Nhà nu?c,4900000,,2
Nam,1989,T?nh Thanh Hóa,"Cán b? c?p 3, Vùng 1, B?c 1",Chính tr? - Nhà nu?c,4700000,,2
Nam,1989,T?nh Hòa Bình,Cán b? Giao thông - Th?y l?i,Chính tr? - Nhà nu?c,0,,1
Nam,1996,Thành ph? Hà N?i,Cán b? k? thu?t,Chính tr? - Nhà nu?c,4773600,,1
N?,1996,Thành ph? Hà N?i,Cán b? K? thu?t,Chính tr? - Nhà nu?c,5127200,,1
Nam,1985,,Cán b? k? thu?t,Chính tr? - Nhà nu?c,1953000,Ðã k?t hôn,#N/A
Nam,1994,T?nh H?i Duong,Cán b? k? thu?t,Chính tr? - Nhà nu?c,4472600,,1
Nam,1994,T?nh Qu?ng Ninh,Cán b? k? thu?t,Chính tr? - Nhà nu?c,4194400,Ðã k?t hôn,1
N?,1994,T?nh Son La,Cán b? k? thu?t,Chính tr? - Nhà nu?c,0,,1
N?,1986,T?nh Tuyên Quang,Cán b? k? thu?t,Chính tr? - Nhà nu?c,3285000,Ðã k?t hôn,1
Nam,1995,T?nh Trà Vinh,Cán b? k? thu?t,Chính tr? - Nhà nu?c,0,,3
N?,1991,T?nh Thanh Hóa,Cán b? k? thu?t (Lao d?ng h?p d?ng),Chính tr? - Nhà nu?c,3252600,Ðã k?t hôn,2
Nam,1985,,Cán b? k? thu?t CT XD S? 02,Chính tr? - Nhà nu?c,3745000,,#N/A
Nam,2003,T?nh Ngh? An,Cán b? phôi,Chính tr? - Nhà nu?c,4729400,,2
Nam,1996,,Cán b? qu?n sinh,Chính tr? - Nhà nu?c,4500000,,#N/A
Nam,1998,T?nh B?c Ninh,Cán b? shopdrawing,Chính tr? - Nhà nu?c,4730000,,1
Nam,1992,Thành ph? H? Chí Minh,Cán b? tr?c d?c,Chính tr? - Nhà nu?c,5000000,,3
Nam,1992,T?nh B?n Tre,Cán b? Tr? em gi?m nghèo,Chính tr? - Nhà nu?c,1490000,,3
Nam,1987,,Cán b? tu v?n tài chính Bán l?,Chính tr? - Nhà nu?c,7069000,,#N/A
N?,1995,T?nh Nam Ð?nh,Cán su,Khác,4826700,,1
N?,1990,Thành ph? Hà N?i,Cán s?,Hành chính - Van phòng,7125850,Ðã k?t hôn,1
Nam,1983,,Cán s?,Hành chính - Van phòng,0,,#N/A
Nam,1985,T?nh Ð?k L?k,Cán s?,Hành chính - Van phòng,0,,3
Nam,1989,,Cán s?,Hành chính - Van phòng,5436600,,#N/A
Nam,1986,T?nh Qu?ng Ninh,Ca´n su?,Khác,0,,1
N?,1980,,"Cán s?, Van phòng",Hành chính - Van phòng,0,Ðã k?t hôn,#N/A
N?,1991,Thành ph? H?i Phòng,C?p du?ng,Khác,4729400,,1
N?,1993,T?nh Bình Phu?c,C?p du?ng,Khác,0,Ðã k?t hôn,3
N?,1977,,C?t v?i trong công ngh? may,Khoa h?c k? thu?t,11923000,,#N/A
Nam,1993,T?nh B?n Tre,C?t v?i trong công ngh? may,Khoa h?c k? thu?t,5626593,,3
Nam,1996,T?nh Ð?ng Tháp,C?t v?i trong công ngh? may,Khoa h?c k? thu?t,3800000,,3
Nam,1995,T?nh An Giang,CB H? tr? k? thu?t t?i nhà KH,Khoa h?c k? thu?t,4200000,,3
Nam,1995,Thành ph? Hà N?i,CB k? thu?t,Khoa h?c k? thu?t,4730000,,1
Nam,1992,T?nh Ninh Bình,CB K? Thu?t,Khoa h?c k? thu?t,4500000,,1
Nam,1991,,CB K? thu?t h? t?ng,Khoa h?c k? thu?t,4480000,,#N/A
Nam,1997,T?nh B?n Tre,"CB K? thu?t TKBT-Tp. B?n Tre, B?n Tre",Khoa h?c k? thu?t,4200000,,3
Nam,1990,T?nh Bình Phu?c,CB Van hóa Xã h?i,Van hóa - Xã h?i - Th? thao,0,,3
Nam,1992,Thành ph? H? Chí Minh,"CBKT sô 5, du?ng D3, phu?ng 25, qu?n Bình Th?nh",Khác,4960000,,3
Nam,1988,,CÐ X/D?ng,Khác,3970000,,#N/A
Nam,1991,T?nh Thanh Hóa,CÐ Xn Y Hoc,Công nghi?p và s?n xu?t,0,,2
Nam,1980,Thành ph? H? Chí Minh,Ch?m công,Khác,4730000,,3
N?,1995,T?nh Ð?ng Nai,Ch?n doán viên b?nh d?ng v?t h?ng III,Khác,0,,3
Nam,1996,T?nh Tây Ninh,Ch?t Da (Tuong Ðuong C?t V?i Trong Công Ngh? May),Khoa h?c k? thu?t,4404200,,1
Nam,1976,Thành ph? Hà N?i,Ch? huy công trình,Quân d?i - Công an,5890400,,1
Nam,1992,T?nh Bình Ð?nh,Ch? huy phó,Quân d?i - Công an,7000000,,2
Nam,1976,T?nh Kon Tum,Ch? huy phó ban ch? huy quân s?,Quân d?i - Công an,1490000,,3
Nam,1994,T?nh Long An,Ch? huy phó ban ch? huy quân s? xã Thanh Phú,Quân d?i - Công an,0,,3
Nam,1998,T?nh Ti?n Giang,Ch? huy phó quân s? xã,Quân d?i - Công an,1490000,,3
Nam,1995,T?nh Tây Ninh,Ch? huy phó. Ban Ch? huy Quân s?,Quân d?i - Công an,1490000,,1
Nam,1995,,Ch? huy tru?ng ban ch? huy quân s? xã,Ch?c v? cao,0,,#N/A
Nam,1996,T?nh Vinh Long,Ch? huy tru?ng Công trình,Quân d?i - Công an,13000000,,3
Nam,1980,T?nh L?ng Son,Ch? huy tru?ng Quân s? xã,Quân d?i - Công an,0,,1
Nam,1990,,CHT,Khác,6851000,,#N/A
N?,1987,T?nh Lào Cai,Ch? co s?,Khác,4500000,Ðã k?t hôn,1
Nam,1988,T?nh B?c Giang,Ch? Nhi?m,Chính tr? - Nhà nu?c,5875000,,1
N?,1992,T?nh Kiên Giang,Ch? Nhi?m Ch? Nhi?m Chuy?n May,Chính tr? - Nhà nu?c,5229000,,3
Nam,1990,T?nh Thanh Hóa,Ch? nhi?m s?n xu?t,Chính tr? - Nhà nu?c,10875000,,2
Nam,1997,T?nh Qu?ng Ninh,Ch? t?ch H?i Ch? Th?p Ð? phu?ng,Ch?c v? cao,1490000,,1
Nam,1985,,Ch? t?ch H?i nông dân,Ch?c v? cao,0,,#N/A
Nam,1995,Thành ph? Hà N?i,Chuyên gia h?c thu?t;,H?c sinh - Sinh viên,4729400,,1
Nam,1972,T?nh Bà R?a - Vung Tàu,Chuyên gia thi?t k?,Khác,29800000,,3
N?,1985,,Chuyên môn nghi?p v? k? su,Khoa h?c k? thu?t,5215600,,#N/A
Nam,1992,T?nh Bình Duong,Chuy?n phó,Khác,7405000,,3
Nam,1990,,Chuy?n phó (may công nghi?p),Công nghi?p và s?n xu?t,5295000,,#N/A
Nam,1999,T?nh B?n Tre,Chuy?n phó Chuy?n may,Công nghi?p và s?n xu?t,3675000,,3
Nam,1992,T?nh Son La,Chuyên trách dân s? - Tr?m y t? xã Mu?ng Bon,Y t? và Cham sóc s?c kh?e,0,,1
Nam,1998,T?nh B?c Giang,Chuy?n tru?ng,Công nghi?p và s?n xu?t,7200000,,1
N?,1985,T?nh Thái Nguyên,Chuy?n tru?ng,Công nghi?p và s?n xu?t,3875900,Ðã k?t hôn,1
N?,1994,T?nh B?n Tre,Chuy?n Tru?ng,Công nghi?p và s?n xu?t,6240000,,3
Nam,1979,,Chuy?n tru?ng,Công nghi?p và s?n xu?t,5100000,Ðã k?t hôn,#N/A
Nam,1999,T?nh B?c Giang,Chuy?n Tru?ng,Công nghi?p và s?n xu?t,5140000,,1
Nam,1984,T?nh Ð?ng Tháp,Chuy?n tru?ng B2 Lò hoi Eva,Công nghi?p và s?n xu?t,5350000,,3
N?,1986,T?nh Ti?n Giang,Chuy?n tru?ng chuy?n may,Công nghi?p và s?n xu?t,6000000,Ðã k?t hôn,3
Nam,1990,T?nh Sóc Trang,Chuy?n tru?ng may,Công nghi?p và s?n xu?t,5573964,,3
